Name,No,Track,Artist,Album,Track_Url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Miliseconds_Played,Genre
tracks,353,Story,Park Shin Hye,The Heirs OST (Full Album),spotify:track:6iz9gKoO0ETNmj17PP9rot,0.682,0.125,5,-11.627,1,0.0338,0.888,0.00001,0.11,0.294,119.94,29251500,K-pop
tracks,354,당돌한 여자,JIHYO,투유 프로젝트 - 슈가맨 Pt.11,spotify:track:7AqScxClmkJdqHZjWSkKH8,0.725,0.579,7,-5.034,0,0.0328,0.453,0,0.124,0.532,129.917,1988062,K-pop
tracks,355,间距,en,间距,spotify:track:4U0bL1ouvksMgvXU2aKq4O,0.575,0.562,6,-7.396,1,0.0289,0.45,0,0.101,0.334,130.056,2248297,M-pop
tracks,356,小時光,胡期皓,小時光,spotify:track:6R3HSoob9oDK60aNFDkOtE,0.671,0.697,1,-6.555,1,0.0343,0.31,0.00161,0.167,347,98.089,16770726,M-pop
tracks,357,Officially Missing You,BANG YE DAM,SBS K팝 스타 시즌2 TOP 2 SPECIAL,spotify:track:02O1E2M6R89FSgatYYEBuq,0.606,0.586,4,-4.971,0,0.243,0.357,0,0.33,0.586,100.321,26590225,K-pop
tracks,358,最熟悉的陌生人,Elva Hsiao,首選蕭亞軒-美麗的插曲,spotify:track:4p1t0HAkt4sYo3R1JQ1WrD,0.677,0.609,7,-4.503,1,0.0292,0.143,0,0.132,0.344,119.855,5827750,M-pop
tracks,359,my boy,Billie Eilish,dont smile at me,spotify:track:1RGasjWLZ4qMN7wbtkLa3u,0.692,0.394,11,-8.745,0,0.207,0.472,0.000191,0.117,0.324,89.936,7665874,Pop
tracks,360,Bittersweet (feat. LeeHi),WONWOO,Bittersweet (feat. LeeHi),spotify:track:347PJwH4XqRbeaKaIW9sX3,0.824,0.68,10,-6.331,0,0.0425,0.425,0,0.0849,0.772,110.077,20546710,K-pop
tracks,361,쏘쏘 so-so,Baek A Yeon,쏘쏘 so-so,spotify:track:1F3PSls61sG4NvY5S6gt7Y,0.702,0.491,6,-4.441,1,0.0396,0.81,0,0.125,0.301,67.217,256633,K-pop
tracks,362,Best Luck,CHEN,It's alright This is love (Original Television Soundtrack) Vol. 1,spotify:track:0FxShF2ad0XegLlZ4UPImP,0.487,0.718,9,-2.461,1,0.0274,0.314,0.000003,0.211,0.272,79.962,355735,K-pop
tracks,363,Merry Summer,ROCOBERRY,Merry Summer,spotify:track:5WW87X7ac3d2j8a43kSeS3,0.748,0.566,0,-9.496,1,0.037,0.573,0.000014,0.105,0.612,89.967,2003369,K-Indie
tracks,364,Just thinking about you,Vanilla Acoustic,Fit Me,spotify:track:13z0tjS1JNelA2fEdxRcET,0.498,0.653,5,-5.685,1,0.0623,0.75,0,0.23,0.598,179.912,1911613,K-Indie
tracks,365,All I Wanna Do (K) (Feat. Hoody & Loco),Jay Park,EVERYTHING YOU WANTED,spotify:track:2FWquqPNxte8iqZ3ATQG0p,0.403,0.724,8,-6.064,1,0.246,0.377,0,0.0927,0.428,97.133,6039243,Undefinied
tracks,366,Werk,CID,Bad For Me EP,spotify:track:7BJ2UGLYgtxQ15d0fe2hJy,0.789,0.876,0,-4.008,1,0.176,0.0457,0.0326,0.172,0.512,124.963,5491582,Electronic/Dance
