End_Time,Artist,Track,Playlist,Miliseconds_Played,
4/3/22 19:55,Tiësto,Secrets,mm3,156502,
4/3/22 19:56,Kura,Beast Mode,mm3,82198,
4/3/22 19:58,Lil Ghost小鬼,Good Night,#N/A,140643,
4/3/22 20:02,余佳运,最好的都给你,mm3,220798,
4/3/22 20:07,offonoff,homeless door (Feat. Rad Museum),#N/A,289181,
4/3/22 20:11,Justin Timberlake,Cry Me a River,#N/A,251913,
4/3/22 20:13,Justin Timberlake,SexyBack (feat. Timbaland),#N/A,110643,
4/3/22 20:17,Team Never Stop,Aloha,#N/A,1363,
4/3/22 20:17,Nicholas Tse,因為愛所以愛,#N/A,1648,
4/3/22 20:17,Tones And I,Dance Monkey,#N/A,209438,
4/3/22 20:20,Jay Chou,聽媽媽的話,#N/A,168414,
4/3/22 20:22,Jay Chou,超人不會飛,#N/A,159103,
4/3/22 20:26,Kim Eunbi,Love song,#N/A,216270,
4/3/22 20:29,Rain,난,madeline is fucking fabulous,2507,
4/3/22 20:29,Jay Chou,黑色毛衣,#N/A,175984,
4/3/22 20:32,J_ust,Soothe (feat. Junmo),madeline is fucking fabulous,186456,
4/3/22 20:35,DEAN,instagram,mm1,179327,
4/3/22 20:38,Yoon Mirae,I will listen never alone,#N/A,174776,
4/3/22 20:39,Kim Tae Woo,I only want you,#N/A,93855,
4/3/22 20:42,Yoon Mirae,Touch love,#N/A,182578,
4/3/22 20:45,YUJU,Love Rain,#N/A,156781,
4/3/22 20:49,ROCOBERRY,Merry Summer,#N/A,212697,
4/3/22 20:52,saevom,"Under The Moon-light (With Jung Soan, Byun Heungsoo)",#N/A,224003,
4/3/22 20:56,Goodnight Stand,First Time,#N/A,198605,
4/3/22 21:00,Goodnight Stand,Leavin' tomorrow,#N/A,286510,
4/3/22 21:03,Boramiyu,I Wanna Hate You,#N/A,173743,
4/3/22 21:08,Goodnight Stand,Leavin' tomorrow,#N/A,274018,
4/3/22 21:10,Who R U?,Without Star,madeline is fucking fabulous,155527,
4/3/22 21:11,Plastic,강남역 4번출구,#N/A,21548,
4/3/22 21:13,Aaron Smith,Dancin - Krono Remix,#N/A,150604,
4/3/22 21:16,Henry,그리워요 Girlfriend,#N/A,183693,
4/3/22 21:18,THE ARK,The Light,#N/A,111455,
4/3/22 21:19,Standing Egg,S.C.H (Small but Certain Happiness),#N/A,13073,
4/4/22 0:14,Yoon Mirae,ALWAYS,#N/A,185600,
4/4/22 0:14,Yoon Mirae,Flower,#N/A,23510,
4/4/22 0:14,Yoon Mirae,I will listen never alone,#N/A,2040,
4/4/22 0:18,Yoon Mirae,Tears Drops As Times Goes,#N/A,231920,
4/4/22 0:22,Yoon Mirae,Touch love,#N/A,233890,
4/4/22 0:25,Lee Seung Chul,My Love (Duet Ver.),#N/A,187750,
4/4/22 0:25,Rezz,Someone Else,#N/A,310,
4/4/22 0:29,Rezz,Edge,#N/A,223886,
4/4/22 0:33,Rezz,Hypnocurrency,#N/A,226443,
4/4/22 0:35,Tiësto,Jackie Chan - Keanu Silva Remix,#N/A,155324,
4/4/22 0:36,slchld,love me at my worst,#N/A,36175,
4/4/22 0:38,homezone,August 7:28 P.M.,#N/A,125270,
4/4/22 0:41,Boon Hui Lu,Losing Myself (feat. GBOYSWAG),#N/A,204750,
4/4/22 0:44,Bruno Mars,Leave The Door Open,mm2,138730,
4/4/22 0:46,JIHYO,당돌한 여자,#N/A,141220,
4/4/22 0:51,Gowe,Worth the Wait,mm2,283010,
4/4/22 0:55,Gowe,Wait for You (feat. Sam Ock),#N/A,236879,
4/4/22 0:56,Gowe,I Wonder (feat. Erin Kim),#N/A,104210,
4/4/22 0:57,BLACKPINK,Pretty Savage,#N/A,4830,
4/4/22 1:00,Joey Stamper,Can’t Take My Eyes off You,#N/A,192093,
4/4/22 1:03,NARSHA,I'm In Love (with 정성하),#N/A,190126,
4/4/22 1:05,Jay Chou,給我一首歌的時間,#N/A,111970,
4/4/22 1:07,keshi,always,#N/A,154600,
4/4/22 1:11,J_ust,Tryin' to forget you,madeline is fucking fabulous,219333,
4/4/22 1:11,J_ust,Sweety,#N/A,3076,
4/4/22 1:11,房祖名,最好的我,#N/A,2240,
4/4/22 1:14,Groove Edition,하루 하루 (Day To Day) [In the Style of Tashannie] - Karaoke,#N/A,163590,
4/4/22 1:18,BIGBANG,Haru Haru,#N/A,234720,
4/4/22 1:22,Landy Wen,夏日の風,#N/A,240653,
4/4/22 1:22,JJ Lin,愛笑的眼睛,#N/A,15006,
4/4/22 1:27,offonoff,bath,mm1,2040,
4/4/22 1:27,offonoff,homeless door (Feat. Rad Museum),#N/A,305418,
4/4/22 1:31,Rothy,Star,#N/A,245880,
4/4/22 1:34,Estelle Fly,HEAVY,#N/A,139750,
4/4/22 1:37,Dane Amar,Green Tea & Honey,#N/A,190810,
4/4/22 1:40,Hyolyn,Good bye 안녕,mm1,218920,
4/4/22 1:43,가수연합,기억을 걷는 시간,#N/A,163570,
4/4/22 1:46,WENDY,The Little Match Girl,#N/A,145290,
4/4/22 1:48,INFINITE,Only Tears,#N/A,157450,
4/4/22 1:51,J_ust,Soothe (feat. Junmo),madeline is fucking fabulous,196450,
4/4/22 1:55,Tiger JK,Reset (feat. Jinsil),#N/A,239860,
4/4/22 1:58,Aaron Smith,Dancin - Krono Remix,#N/A,165380,
4/4/22 2:02,GroovyRoom,This Night,#N/A,215213,
4/4/22 2:04,LeeHi,MY LOVE,#N/A,106696,
4/4/22 2:05,Woo Hye Mi,Rotten Flower,#N/A,110780,
4/4/22 2:14,Chancellor,Angel (feat. TAEYEON),#N/A,255907,
4/4/22 2:26,Rothy,HELLO,#N/A,4736,
4/4/22 2:26,Rothy,Star,#N/A,6613,
4/4/22 2:26,JINHO,A little bit more,#N/A,4117,
4/4/22 2:27,Rothy,Cloud,#N/A,9557,
4/4/22 17:09,BIGBANG,Haru Haru,#N/A,10325,
4/4/22 17:09,BIGBANG,Still Life,#N/A,188369,
4/4/22 17:13,HAEUN,Rainy day,#N/A,213040,
4/4/22 17:22,Yayyoung,Don't Wanna Fall In Love Again,#N/A,217411,
4/4/22 17:25,ARO,Hug Me,#N/A,173693,
4/4/22 17:29,Jay Chou,我落淚˙情緒零碎,#N/A,256146,
4/4/22 17:33,Maruxa Lynd,For U,#N/A,193160,
4/4/22 17:36,Jyin Poh,孔雀鱼,#N/A,229176,
4/4/22 17:41,Silence Wang,小段,#N/A,257133,
4/4/22 17:44,Maria Z,More,#N/A,173413,
4/4/22 17:47,Ours,你承載了我所有喜歡,#N/A,201737,
4/4/22 17:52,Michael Carreon,Someday,#N/A,286740,
4/4/22 17:55,step.jad,都不懂,#N/A,204521,
4/4/22 17:57,程佳佳,我爱你,#N/A,1280,
4/4/22 17:57,Lunadira,am i gonna die?,#N/A,75641,
4/4/22 17:57,黃大謙,想要離開你,#N/A,2730,
4/4/22 17:59,Hello Ga-Young,"Did you wake up? (one and only romance X Hello Ga-Young, WONPIL(DAY6))",#N/A,2240,
4/4/22 17:59,Hello Ga-Young,네가 좋아,#N/A,156885,
4/4/22 18:00,Hello Ga-Young,Spring Is Gone by chance (2021),#N/A,21610,
4/4/22 18:00,Hello Ga-Young,언젠가 설명이 필요한 밤,#N/A,5802,
4/4/22 18:00,Hello Ga-Young,In a dream,#N/A,18005,
4/4/22 18:01,Hello Ga-Young,솜과 사탕,#N/A,44949,
4/4/22 18:05,Grady Guan,想你的夜 (未眠版),#N/A,271637,
4/4/22 18:10,Queen Wei,聽見下雨的聲音,mm2,256085,
